Month,Calendar Year,Fiscal Year,Month Date,Route,Riders
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,531,1188
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,533,3935
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,535,3324
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,541,1008
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,61,74637
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,77,3229
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,96,44431
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,AZ Ave Link,21394
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,Buzz,8510
Dec,2014,FY14-15,12/01/2014 12:00:00 AM,Main St Link,30507
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,104,22193
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,108,4114
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,112,33312
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,120,8788
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,128,8859
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,136,14120
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,156,2386
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,184,13184
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,30,39732
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,40,49972
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,45,41416
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,531,1208
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,533,5017
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,535,3514
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,541,1151
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,61,74799
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,77,3288
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,96,45880
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,AZ Ave Link,24603
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,Buzz,8145
Jan,2015,FY14-15,01/01/2015 12:00:00 AM,Main St Link,28107
Feb,2015,FY14-15,02/01/2015 12:00:00 AM,104,22548
Feb,2015,FY14-15,02/01/2015 12:00:00 AM,108,4592
Feb,2015,FY14-15,02/01/2015 12:00:00 AM,112,28937
